City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.74,55,12,5.83,PN,1712886345
1,port mathurin,-19.6833,63.4167,26.82,75,39,4.89,MU,1712886346
2,wailua homesteads,22.0669,-159.378,23.24,87,100,0.0,US,1712886347
3,puerto natales,-51.7236,-72.4875,2.59,90,17,2.32,CL,1712886301
4,college,64.8569,-147.8028,7.18,49,75,6.17,US,1712886338
5,punta arenas,-53.15,-70.9167,8.06,71,40,15.95,CL,1712886321
6,waitangi,-43.9535,-176.5597,18.23,91,99,5.36,NZ,1712886350
7,anna regina,7.2644,-58.5077,26.84,79,11,4.13,GY,1712886351
8,novaya igirma,57.1334,103.9112,0.49,75,100,1.36,RU,1712886352
9,grytviken,-54.2811,-36.5092,-2.02,66,6,4.49,GS,1712886353
10,edinburgh of the seven seas,-37.0676,-12.3116,18.69,93,18,7.95,SH,1712886348
11,utrik,11.2278,169.8474,26.59,73,100,8.56,MH,1712886355
12,port-aux-francais,-49.35,70.2167,5.75,87,100,5.13,TF,1712886356
13,ushuaia,-54.8,-68.3,7.81,71,0,12.86,AR,1712886251
14,poli,-3.3333,36.8,16.65,94,74,0.23,TZ,1712886357
15,bethel,41.3712,-73.414,16.05,89,100,3.6,US,1712886080
16,minas de marcona,-15.2119,-75.1103,17.23,79,100,3.51,PE,1712886359
17,avarua,-21.2078,-159.775,29.03,84,75,7.72,CK,1712886359
18,sungai raya,0.7,108.9,29.69,70,82,1.13,ID,1712886360
19,oamaru,-45.0784,170.9801,9.65,91,100,5.48,NZ,1712886317
20,hotan,37.0997,79.9269,19.67,14,29,3.0,CN,1712886362
21,timbuktu,16.7735,-3.0074,30.33,11,71,7.17,ML,1712886362
22,dalandzadgad,43.5708,104.425,13.67,30,49,9.85,MN,1712886363
23,iqaluit,63.7506,-68.5145,-5.15,79,75,5.66,CA,1712886364
24,robertsport,6.7533,-11.3686,26.95,86,100,0.97,LR,1712886365
25,whitehorse,60.7161,-135.0538,7.43,29,75,7.72,CA,1712886366
26,olonkinbyen,70.9221,-8.7187,-7.67,90,100,7.11,SJ,1712886367
27,port elizabeth,-33.918,25.5701,14.62,76,0,4.63,ZA,1712886368
28,georgetown,5.4112,100.3354,30.96,66,20,3.6,MY,1712886369
29,tolanaro,-25.0319,46.9987,23.04,88,40,5.14,MG,1712886370
30,margaret river,-33.95,115.0667,20.38,51,9,4.98,AU,1712886268
31,blackmans bay,-43.0167,147.3167,18.07,68,94,3.51,AU,1712886371
32,santa ana de yacuma,-13.75,-65.4333,27.07,82,95,1.4,BO,1712886372
33,west island,-12.1568,96.8225,27.99,78,40,4.12,CC,1712886349
34,lae,-6.7221,146.9847,30.37,67,56,3.73,PG,1712886373
35,san antonio de pale,-1.4014,5.6325,27.95,77,100,3.64,GQ,1712886346
36,badger,64.8,-147.5333,7.14,47,75,6.17,US,1712886375
37,taro,-8.3862,115.28,26.03,65,27,1.04,ID,1712886376
38,brejo,-3.6844,-42.7503,24.07,97,86,1.24,BR,1712886377
39,puerto ayora,-0.7393,-90.3518,25.86,98,83,2.24,EC,1712886377
40,bredasdorp,-34.5322,20.0403,12.65,77,37,3.14,ZA,1712886378
41,lebu,-37.6167,-73.65,10.16,94,1,1.9,CL,1712886379
42,port macquarie,-31.4333,152.9167,23.83,68,10,4.42,AU,1712886380
43,la passe,45.5549,-0.8967,11.1,93,9,3.15,FR,1712886381
44,flying fish cove,-10.4217,105.6791,28.82,78,75,4.63,CX,1712886381
45,colonia,50.9333,6.95,14.36,78,100,1.54,DE,1712886237
46,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,3.09,US,1712886383
47,dunedin,-45.8742,170.5036,9.89,88,100,1.34,NZ,1712886384
48,ribeira grande,38.5167,-28.7,15.99,94,1,2.63,PT,1712886385
49,camiri,-20.05,-63.5167,17.53,97,100,0.66,BO,1712886386
50,mili,6.0815,171.735,27.25,85,100,7.15,MH,1712886386
51,nova olimpia,-14.7972,-57.2881,23.77,89,100,1.15,BR,1712886387
52,enewetak,11.3474,162.3373,26.86,80,73,8.82,MH,1712886388
53,akureyri,65.6835,-18.0878,1.96,75,100,4.12,IS,1712886165
54,aykhal,66.0,111.5,-19.5,85,15,3.12,RU,1712886389
55,qaqortoq,60.7167,-46.0333,-7.86,87,14,2.54,GL,1712886390
56,nuuk,64.1835,-51.7216,-2.66,86,40,3.09,GL,1712886240
57,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712886392
58,san patricio,28.017,-97.5169,23.97,41,6,3.88,US,1712886393
59,hirara,24.8,125.2833,26.15,83,40,5.66,JP,1712886393
60,talnakh,69.4865,88.3972,-25.27,98,94,4.32,RU,1712886394
61,tazacorte,28.629,-17.9293,24.54,19,75,3.6,ES,1712886395
62,vilyuysk,63.7553,121.6247,-15.61,78,13,3.82,RU,1712886396
63,kem',64.9555,34.5793,1.08,89,99,5.53,RU,1712886396
64,pionerskiy,54.9508,20.2275,12.86,98,100,8.74,RU,1712886397
65,mchinji,-13.7984,32.8802,18.08,98,100,2.25,MW,1712886398
66,mahina,-17.5065,-149.489,29.87,70,75,3.6,PF,1712886399
67,mana,5.6592,-53.7767,25.48,91,97,3.94,GF,1712886400
68,tbilisskaya,45.3633,40.19,13.21,71,96,3.57,RU,1712886401
69,albany,42.6001,-73.9662,15.33,80,100,3.58,US,1712885995
70,alice springs,-23.7,133.8833,22.34,26,3,6.17,AU,1712886364
71,jiexiu,37.0244,111.9125,22.2,28,0,3.47,CN,1712886404
72,vadso,70.0744,29.7487,0.49,80,100,4.63,NO,1712886405
73,vilyuchinsk,52.9306,158.4028,8.15,96,25,1.97,RU,1712886405
74,haiku-pauwela,20.9219,-156.3051,25.14,72,20,5.66,US,1712886406
75,birobidzhan,48.8,132.95,15.21,52,48,2.13,RU,1712886407
76,papatowai,-46.5619,169.4708,9.23,67,100,2.3,NZ,1712886408
77,tofol,5.3248,163.0078,27.88,83,100,4.63,FM,1712886408
78,fale old settlement,-9.3852,-171.2468,30.16,71,41,4.11,TK,1712886409
79,astrakhan,46.3497,48.0408,9.93,100,9,2.0,RU,1712886410
80,maisi,43.0395,41.2621,7.65,93,52,1.18,GE,1712886411
81,vorgashor,67.5833,63.95,-6.15,95,100,7.32,RU,1712886412
82,basco,20.4487,121.9702,26.36,84,21,6.4,PH,1712886413
83,hadibu,12.65,54.0333,26.97,78,20,2.28,YE,1712886413
84,constantia,44.1833,28.65,16.5,75,38,3.55,RO,1712886331
85,jamestown,42.097,-79.2353,16.77,99,100,4.63,US,1712886189
86,island harbour,50.724,-1.2758,10.68,90,100,3.13,GB,1712886416
87,gadzhiyevo,69.2551,33.3362,-1.17,87,100,10.35,RU,1712886417
88,grand falls-windsor,48.9332,-55.6649,3.06,65,6,3.51,CA,1712886327
89,sarkand,45.41,79.9186,1.06,99,100,2.34,KZ,1712886418
90,baissa,7.2333,10.6333,26.14,60,90,1.12,NG,1712886419
91,noumea,-22.2763,166.4572,27.22,99,99,3.8,NC,1712886170
92,sitka,57.0531,-135.33,7.94,61,20,6.69,US,1712886421
93,bilibino,68.0546,166.4372,-7.98,72,78,1.95,RU,1712886421
94,noshiro,40.2039,140.0242,14.46,55,100,1.99,JP,1712886422
95,kharan,28.5833,65.4167,25.13,34,100,3.65,PK,1712886423
96,ibshaway,29.358,30.6814,17.4,59,0,3.58,EG,1712886424
97,nizhnevartovsk,60.9344,76.5531,-12.99,56,0,6.0,RU,1712886425
98,arraial do cabo,-22.9661,-42.0278,24.8,84,13,1.5,BR,1712886426
99,moapa valley,36.5805,-114.4703,29.19,14,0,0.75,US,1712886427
100,nogliki,51.8333,143.1667,3.52,88,17,5.36,RU,1712886428
101,mitsamiouli,-11.3847,43.2844,28.35,78,100,4.38,KM,1712886429
102,nadi,-17.8,177.4167,31.0,70,20,5.14,FJ,1712886400
103,kavieng,-2.5744,150.7967,28.69,72,70,2.71,PG,1712886430
104,melenci,45.5139,20.3172,11.65,87,10,2.86,RS,1712886431
105,thompson,55.7435,-97.8558,1.09,75,100,3.09,CA,1712886432
106,nemuro,43.3236,145.575,5.48,93,100,6.87,JP,1712886434
107,fuglafjordur,62.244,-6.814,8.26,85,47,9.73,FO,1712886435
108,burela de cabo,43.65,-7.4,12.24,86,9,1.81,ES,1712886436
109,pedernales,18.0384,-71.744,27.75,67,6,2.05,DO,1712886436
110,mawlamyinegyunn,16.3833,95.2667,32.7,42,3,2.92,MM,1712886437
111,atafu village,-8.5421,-172.5159,29.85,73,95,3.83,TK,1712886438
112,ciudad del carmen,18.6333,-91.8333,26.02,65,20,4.12,MX,1712886439
113,jieshi,22.8134,115.8257,23.44,78,12,1.56,CN,1712886440
114,kapa'a,22.0752,-159.319,23.99,87,100,0.0,US,1712886193
115,new norfolk,-42.7826,147.0587,18.72,82,100,1.34,AU,1712886441
116,kenai,60.5544,-151.2583,4.05,93,100,1.54,US,1712886442
117,jining,35.405,116.5814,22.03,57,0,4.89,CN,1712886443
118,dudinka,69.4058,86.1778,-25.42,97,48,4.65,RU,1712886444
119,st. john's,47.5649,-52.7093,2.21,81,0,7.2,CA,1712886350
120,sisimiut,66.9395,-53.6735,-5.93,89,95,2.65,GL,1712886445
